Date,Cars,Motorbikes,Buses,Pedestrians & cyclists
11/03/2020,291928,511,18997,53562
12/03/2020,287619,465,18328,47164
13/03/2020,284520,493,18856,51825
14/03/2020,311553,460,18384,45660
15/03/2020,314612,489,17932,42493
16/03/2020,268738,522,18151,43507
17/03/2020,279981,600,19676,51208
18/03/2020,268476,655,19474,51012
19/03/2020,251773,482,19278,40922
20/03/2020,244976,531,18459,41300
21/03/2020,232519,555,16867,32856
22/03/2020,206596,488,15019,26360
23/03/2020,201759,524,15650,28477
24/03/2020,166428,534,15415,25469
25/03/2020,152030,497,14803,24420
26/03/2020,221731,693,14991,34098
27/03/2020,189639,708,16285,31550
28/03/2020,157217,605,16623,28133
29/03/2020,163525,569,16130,24867
30/03/2020,170418,607,16080,30557
31/03/2020,170020,723,15228,31881
01/04/2020,142106,624,14976,29728
02/04/2020,146075,676,15065,30650
03/04/2020,148169,636,14818,30856
04/04/2020,136575,583,13188,24678
05/04/2020,135638,535,13569,23633
06/04/2020,156366,691,14604,28774
07/04/2020,145932,589,13327,26980
08/04/2020,152865,720,13987,31627
09/04/2020,150119,612,13044,28558
10/04/2020,118350,552,11541,23668
11/04/2020,138432,652,13214,26918
12/04/2020,136729,693,14293,27034
13/04/2020,117934,562,12223,23705
14/04/2020,152438,541,13178,26068
15/04/2020,145297,566,12438,25243
16/04/2020,147434,769,13338,30501
17/04/2020,157070,674,13670,26956
18/04/2020,148791,737,14235,32110
19/04/2020,148146,572,13018,25848
20/04/2020,156995,581,12223,24599
21/04/2020,158548,581,12159,25224
22/04/2020,157265,588,12155,24676
23/04/2020,158195,690,12430,27415
24/04/2020,163781,624,12654,26761
25/04/2020,155769,639,12754,26922
26/04/2020,157878,613,12936,28818
27/04/2020,173009,787,13913,34553
28/04/2020,152605,381,13470,16172
29/04/2020,170475,631,13527,28616
30/04/2020,168001,535,13392,24215
01/05/2020,184457,634,13621,27899
02/05/2020,176454,725,13166,33178
03/05/2020,169590,803,14767,36284
04/05/2020,184855,688,13227,32413
05/05/2020,181918,619,12960,27767
06/05/2020,173350,578,12311,26523
07/05/2020,187516,684,12873,31607
08/05/2020,156322,734,11638,30777
09/05/2020,171569,737,12323,29963
