Date,Cars,Light Commerical Vehicles,Heavy Goods Vehicles,All Motor Vehicles,National Rail,Transport for London Tube,Transport for London Bus,Bus (excl. London),Cycling,,
2020-03-01,103,111,108,104,97,104,102,,,,
2020-03-02,102,106,103,103,94,95,97,,,,
2020-03-03,101,105,102,102,95,95,96,,,,
2020-03-04,101,104,103,101,95,95,97,,,,
2020-03-05,100,103,102,100,97,92,92,,,,
2020-03-06,102,103,102,102,99,92,96,,,,
2020-03-07,101,109,108,102,99,91,93,,,,
2020-03-08,105,113,112,106,99,87,95,,89,,
2020-03-09,101,107,104,103,100,90,95,102,105,,
2020-03-10,99,105,103,101,99,89,97,102,82,,
2020-03-11,99,104,103,100,98,86,93,98,118,,
2020-03-12,98,102,102,99,96,81,92,98,120,,
2020-03-13,98,100,102,98,92,72,87,94,99,,
2020-03-14,93,102,108,95,89,61,83,85,127,,
2020-03-15,94,105,112,96,85,54,74,85,93,,
2020-03-16,96,103,104,98,78,60,79,88,104,,
2020-03-17,86,95,103,89,69,44,70,77,77,,
2020-03-18,80,90,100,83,59,35,65,62,93,,
2020-03-19,79,88,100,82,51,30,59,58,91,,
2020-03-20,78,85,98,81,43,24,52,53,82,,
2020-03-21,70,79,102,73,37,13,39,40,118,,
2020-03-22,66,73,101,69,33,11,32,35,126,,
2020-03-23,64,77,97,69,25,15,31,27,85,,
2020-03-24,44,56,84,49,20,9,22,17,85,,
2020-03-25,37,47,77,42,16,7,19,14,127,,
2020-03-26,35,43,72,39,13,6,18,13,131,,
2020-03-27,35,42,69,38,10,6,18,14,106,,
2020-03-28,27,34,71,30,9,4,17,12,125,,
2020-03-29,23,29,72,25,8,4,16,13,83,,
2020-03-30,33,41,64,36,6,5,17,12,72,,
2020-03-31,32,40,62,36,5,5,17,12,96,,
2020-04-01,32,39,61,35,5,5,16,11,111,,
2020-04-02,32,38,60,35,5,5,16,11,110,,
2020-04-03,34,40,60,36,5,5,16,12,111,,
2020-04-04,28,35,66,31,5,4,17,11,199,,
2020-04-05,25,31,70,27,5,4,17,12,226,,
2020-04-06,34,42,61,37,5,5,18,11,105,,
2020-04-07,33,41,60,36,5,5,18,11,138,,
2020-04-08,34,42,62,37,5,5,17,10,154,,
2020-04-09,36,43,61,39,5,5,18,12,168,,
2020-04-10,27,27,33,27,4,4,17,12,179,,
2020-04-11,29,35,55,31,4,4,16,10,288,,
2020-04-12,22,27,50,24,4,4,14,10,247,,
2020-04-13,23,22,25,23,4,5,18,12,122,,
2020-04-14,35,44,60,38,4,5,19,12,134,,
2020-04-15,34,44,63,38,4,5,18,10,194,,
2020-04-16,34,42,63,38,4,5,18,11,203,,
2020-04-17,35,43,63,39,5,5,18,11,100,,
2020-04-18,31,38,71,33,5,4,16,11,143,,
2020-04-19,29,36,73,32,5,4,,13,320,,
2020-04-20,38,48,65,41,6,5,,12,139,,
2020-04-21,37,47,64,41,5,5,,11,150,,
2020-04-22,37,47,65,41,5,5,,11,201,,
2020-04-23,37,46,64,41,5,5,,11,220,,
2020-04-24,39,46,65,42,4,5,,12,188,,
2020-04-25,35,43,71,38,4,4,,12,292,,
2020-04-26,32,40,75,35,4,4,,13,343,,
2020-04-27,40,51,68,44,4,5,,12,159,,
2020-04-28,38,49,67,42,4,5,,11,49,,
2020-04-29,38,49,68,42,4,5,,11,111,,
2020-04-30,39,48,67,42,4,5,,11,97,,
2020-05-01,40,50,66,44,4,5,,12,123,,
2020-05-02,38,47,72,40,4,4,,12,310,,
2020-05-03,34,42,76,37,4,4,,13,258,,
2020-05-04,42,55,70,46,5,6,,12,155,,
2020-05-05,42,54,71,46,5,6,,12,131,,
2020-05-06,43,55,73,47,5,5,,12,226,,
2020-05-07,45,56,71,49,5,5,,13,224,,
2020-05-08,33,33,35,34,5,7,,,236,,
2020-05-09,39,46,65,41,5,5,,13,384,,
2020-05-10,35,44,77,37,5,4,,13,150,,
2020-05-11,45,58,74,49,5,6,,12,100,,
2020-05-12,45,59,75,50,5,6,,13,143,,
2020-05-13,48,61,76,53,5,6,,12,152,,
2020-05-14,50,60,75,54,5,6,,13,209,,
2020-05-15,51,61,74,55,6,6,,13,175,,
2020-05-16,52,64,80,56,6,5,,13,316,,
2020-05-17,50,63,84,54,6,5,,15,311,,
2020-05-18,53,67,79,58,6,7,,14,164,,
2020-05-19,54,67,79,58,7,7,,14,167,,
2020-05-20,56,67,80,60,7,7,,13,232,,
2020-05-21,54,66,80,59,7,7,,13,223,,
2020-05-22,56,67,79,59,7,8,,14,121,,
2020-05-23,55,68,84,58,7,6,,14,162,,
2020-05-24,55,67,80,58,7,6,,16,263,,
2020-05-25,50,46,34,50,7,9,,19,282,,
2020-05-26,59,73,81,63,7,9,,15,166,,
2020-05-27,59,72,84,63,7,8,,14,225,,
2020-05-28,59,71,83,64,7,9,,14,235,,
2020-05-29,62,72,83,66,8,9,,15,197,,
2020-05-30,66,77,92,69,8,8,,16,323,,
2020-05-31,67,79,94,71,8,9,,19,320,,
2020-06-01,65,78,87,69,8,10,,17,182,,
2020-06-02,65,78,84,69,9,10,,18,182,,
2020-06-03,59,74,85,63,10,10,,16,118,,
2020-06-04,60,73,85,64,10,10,,17,169,,
2020-06-05,62,74,85,66,11,10,,17,114,,
2020-06-06,63,76,90,66,11,10,,16,125,,
2020-06-07,63,76,93,66,12,11,,19,222,,
2020-06-08,63,78,87,68,13,11,,18,164,,
2020-06-09,64,79,88,69,13,11,25,19,168,,
2020-06-10,61,77,88,66,12,11,25,17,125,,
2020-06-11,61,75,88,66,12,11,26,17,124,,
2020-06-12,64,76,87,67,12,11,26,18,113,,
2020-06-13,73,85,93,76,13,12,31,19,286,,
2020-06-14,74,86,97,77,12,11,30,21,303,,
2020-06-15,70,84,92,74,12,14,32,21,168,,
2020-06-16,68,82,91,72,13,13,31,21,145,,
2020-06-17,67,81,92,72,13,13,30,20,167,,
2020-06-18,65,79,89,69,14,13,29,19,95,,
2020-06-19,70,82,90,74,14,14,29,21,117,,
2020-06-20,83,93,97,86,15,15,36,24,286,,
2020-06-21,81,90,95,83,15,13,34,24,186,,
2020-06-22,72,87,93,77,15,16,34,23,178,,
2020-06-23,74,87,94,78,15,15,34,23,180,,
2020-06-24,76,88,94,80,16,15,34,22,201,,
2020-06-25,76,86,92,80,16,15,34,23,243,,
2020-06-26,74,85,91,78,17,15,35,22,146,,
2020-06-27,75,88,97,78,16,15,36,23,127,,
2020-06-28,76,90,99,79,17,15,36,26,180,,
2020-06-29,72,88,96,77,16,16,33,24,93,,
2020-06-30,73,88,96,77,17,16,32,26,125,,
2020-07-01,73,88,97,78,16,16,33,24,154,,
2020-07-02,73,86,96,77,16,16,33,25,155,,
2020-07-03,75,87,96,79,17,20,35,25,114,,
2020-07-04,82,95,101,84,17,18,39,29,178,,
2020-07-05,84,98,105,87,18,20,40,32,175,,
2020-07-06,79,93,97,83,19,19,37,29,138,,
2020-07-07,76,91,97,80,19,19,37,29,109,,
2020-07-08,75,89,97,79,20,19,36,28,100,,
2020-07-09,76,89,96,80,21,19,37,28,112,,
2020-07-10,83,93,96,86,21,21,39,30,133,,
2020-07-11,90,101,104,93,22,24,45,34,232,,
2020-07-12,95,108,111,99,22,24,45,37,252,,
2020-07-13,80,94,98,84,23,21,41,31,110,,
2020-07-14,79,93,98,83,23,20,40,32,125,,
2020-07-15,79,93,98,83,24,21,40,31,127,,
2020-07-16,81,92,98,85,25,21,42,32,165,,
2020-07-17,86,94,97,89,25,24,45,33,134,,
2020-07-18,91,103,104,94,26,29,50,37,186,,
2020-07-19,95,109,111,98,26,24,43,41,194,,
2020-07-20,85,97,99,88,27,23,45,33,143,,
2020-07-21,83,95,98,87,27,23,45,34,133,,
2020-07-22,82,94,98,85,27,23,46,32,151,,
2020-07-23,81,91,95,84,28,25,49,33,137,,
2020-07-24,88,96,97,90,28,25,49,35,130,,
2020-07-25,90,102,105,92,28,28,51,38,116,,
2020-07-26,96,111,112,100,29,28,50,44,207,,
2020-07-27,80,93,96,83,29,24,45,31,66,,
2020-07-28,82,95,97,86,29,25,50,37,114,,
2020-07-29,84,94,96,87,29,25,49,35,159,,
2020-07-30,86,94,96,88,29,26,49,36,174,,
2020-07-31,92,97,95,93,30,27,50,37,124,,
2020-08-01,97,107,106,99,31,31,54,42,189,,
2020-08-02,99,114,114,103,31,28,54,47,187,,
2020-08-03,88,98,97,90,32,27,51,37,124,,
2020-08-04,83,95,98,87,32,27,50,37,105,,
2020-08-05,84,96,98,87,33,28,51,37,120,,
2020-08-06,85,93,96,88,33,27,49,37,157,,
2020-08-07,89,96,96,91,33,28,50,37,126,,
2020-08-08,98,108,108,101,34,32,54,45,202,,
2020-08-09,101,115,116,105,34,31,51,49,189,,
2020-08-10,90,100,100,93,35,28,53,39,122,,
2020-08-11,86,97,99,89,34,28,49,40,119,,
2020-08-12,86,97,99,89,35,28,53,38,129,,
2020-08-13,85,94,98,88,34,26,48,38,125,,
2020-08-14,89,97,98,92,34,29,53,39,96,,
2020-08-15,96,107,107,98,33,33,54,46,135,,
2020-08-16,95,110,115,98,33,32,54,48,132,,
2020-08-17,88,100,100,91,33,30,53,41,102,,
2020-08-18,86,98,99,89,33,30,54,43,107,,
2020-08-19,84,95,97,87,33,30,51,39,82,,
2020-08-20,89,98,98,92,34,31,55,43,183,,
2020-08-21,89,96,95,91,34,32,54,39,62,,
2020-08-22,97,109,108,99,35,36,59,48,143,,
2020-08-23,99,115,116,103,36,35,58,51,166,,
2020-08-24,92,102,99,94,40,32,57,45,114,,
2020-08-25,82,93,95,85,38,35,56,38,44,,
2020-08-26,90,100,99,93,38,36,58,44,121,,
2020-08-27,87,96,98,89,38,32,53,41,94,,
2020-08-28,92,98,97,93,38,34,55,43,66,,
2020-08-29,98,109,107,101,38,42,61,53,133,,
2020-08-30,102,116,107,105,37,39,59,59,177,,
2020-08-31,86,74,46,82,32,45,69,54,131,,
2020-09-01,91,101,99,94,33,33,54,49,115,,
2020-09-02,87,98,103,90,33,35,52,44,107,,
2020-09-03,87,97,102,90,33,33,53,48,125,,
2020-09-04,93,101,102,95,32,35,56,50,106,,
2020-09-05,100,113,116,103,32,42,61,54,175,,
2020-09-06,101,117,120,104,32,41,58,56,177,,
2020-09-07,90,103,104,94,34,34,58,54,99,,
2020-09-08,88,101,104,92,33,34,58,57,111,,
2020-09-09,89,102,104,93,31,35,58,55,,,
